fyear,dominant_datadate,unique_cusips
1985,1985-12-31,643
1986,1986-12-31,692
1987,1987-12-31,733
1988,1988-12-31,768
1989,1989-12-31,800
1990,1990-12-31,861
1991,1991-12-31,918
1992,1992-12-31,1007
1993,1993-12-31,1115
1994,1994-12-31,1201
1995,1995-12-31,1364
1996,1996-12-31,1428
1997,1997-12-31,1489
1998,1998-12-31,1602
1999,1999-12-31,1669
2000,2000-12-31,1706
2001,2001-12-31,1711
2002,2002-12-31,1758
2003,2003-12-31,1822
2004,2004-12-31,1876
2005,2005-12-31,1943
2006,2006-12-31,1990
2007,2007-12-31,2035
2008,2008-12-31,2059
2009,2009-12-31,2100
2010,2010-12-31,2182
2011,2011-12-31,2296
2012,2012-12-31,2438
2013,2013-12-31,2557
2014,2014-12-31,2658
2015,2015-12-31,2866
2016,2016-12-31,3017
2017,2017-12-31,3155
2018,2018-12-31,3359
2019,2019-12-31,3693
2020,2020-12-31,3925
2021,2021-12-31,4101
2022,2022-12-31,4280
2023,2023-12-31,4297
2024,2024-12-31,4120
