Year,No. of Observations,No. of Default Events
1985,611,6
1986,661,6
1987,705,4
1988,742,10
1989,774,9
1990,833,19
1991,889,15
1992,980,14
1993,1081,8
1994,1167,4
1995,1326,8
1996,1392,10
1997,1454,11
1998,1562,28
1999,1630,48
2000,1666,47
2001,1676,44
2002,1719,41
2003,1782,21
2004,1838,14
2005,1906,9
2006,1948,11
2007,1994,28
2008,2025,23
2009,2063,26
2010,2146,7
2011,2263,12
2012,2408,12
2013,2526,9
2014,2628,13
2015,2832,13
2016,2984,6
2017,3122,7
2018,3326,11
2019,3666,26
2020,3896,9
2021,4073,2
2022,4251,2
2023,4268,0
2024,4089,0
